id,country,pop_2015,pop_2016,pop_2017,pop_2018
0130,..Alutaguse rural municipality,5009,4974,4917,4818
0141,..Anija rural municipality,6254,6183,6177,6145
0142,..Antsla rural municipality,4640,4594,4546,4514
0171,..Elva rural municipality,14745,14650,14478,14418
0214,..Häädemeeste rural municipality,4845,4874,4876,4862
0184,..Haapsalu city,13544,13391,13210,13142
0191,..Haljala rural municipality,4385,4388,4318,4319
0198,..Harku rural municipality,13053,13456,13735,14123
0205,..Hiiu rural municipality,9485,9348,9335,9387
0255,..Järva rural municipality,9429,9287,9084,8984
0245,..Jõelähtme rural municipality,6023,6095,6219,6333
0247,..Jõgeva rural municipality,14273,14108,13859,13679
0251,..Jõhvi rural municipality,12013,11786,11620,11924
0272,..Kadrina rural municipality,4964,4896,5009,4908
0283,..Kambja rural municipality,9340,9666,9937,10409
0284,..Kanepi rural municipality,4833,4808,4886,4803
0291,..Kastre rural municipality,4666,4731,5086,5085
0293,..Kehtna rural municipality,5667,5661,5585,5535
0296,..Keila city,9571,9577,9695,9775
0303,..Kihnu rural municipality,677,682,686,685
0304,..Kiili rural municipality,4640,4945,5065,5252
0317,..Kohila rural municipality,6770,6770,6933,6949
0321,..Kohtla-Järve city,36329,35801,35056,34394
0338,..Kose rural municipality,7011,7066,7103,7110
0353,..Kuusalu rural municipality,6481,6496,6506,6451
0431,..Lääne-Harju rural municipality,12680,12627,12641,12568
0441,..Lääne-Nigula rural municipality,7221,7147,7099,7097
0430,..Lääneranna rural municipality,5680,5569,5468,5382
0424,..Loksa city,2628,2634,2637,2568
0442,..Lüganuse rural municipality,9432,9218,8957,8743
0432,..Luunja rural municipality,3875,4000,4202,4449
0446,..Maardu city,15215,15128,15077,15189
0503,..Märjamaa rural municipality,7933,7806,7707,7613
0478,..Muhu rural municipality,1810,1802,1823,1885
0480,..Mulgi rural municipality,7889,7761,7626,7506
0486,..Mustvee rural municipality,5876,5683,5617,5537
0511,..Narva city,58869,58204,57130,56103
0514,..Narva-Jõesuu city,4523,4446,4653,4562
0528,..Nõo rural municipality,3889,3922,4109,4213
0557,..Otepää rural municipality,6785,6680,6600,6495
0567,..Paide city,10922,10791,10957,10759
0624,..Pärnu city,50946,50697,50450,50403
0586,..Peipsiääre rural municipality,5792,5682,5573,5506
0638,..Põhja-Pärnumaa rural municipality,8626,8506,8406,8289
0615,..Põhja-Sakala rural municipality,8379,8242,8145,8066
0618,..Põltsamaa rural municipality,10272,10187,10034,9903
0622,..Põlva rural municipality,14622,14378,14181,14084
0651,..Raasiku rural municipality,4631,4625,4997,4990
0653,..Rae rural municipality,14955,15794,16758,17766
0663,..Rakvere city,15900,15747,15526,15413
0661,..Rakvere rural municipality,5518,5480,5523,5503
0708,..Räpina rural municipality,6737,6583,6494,6403
0668,..Rapla rural municipality,13409,13302,13260,13202
0698,..Rõuge rural municipality,5739,5639,5556,5435
0689,..Ruhnu rural municipality,139,138,127,141
0712,..Saarde rural municipality,4921,4837,4768,4636
0714,..Saaremaa rural municipality,31769,31541,31357,31205
0718,..Saku rural municipality,9158,9276,9489,9742
0726,..Saue rural municipality,20428,20852,21213,21406
0732,..Setomaa rural municipality,3480,3436,3390,3369
0735,..Sillamäe city,13906,13686,13288,12989
0784,..Tallinn,418545,423420,426538,430805
0792,..Tapa rural municipality,11608,11398,11169,11049
0793,..Tartu city,96310,96212,95677,96506
0796,..Tartu rural municipality,9739,9951,10233,10536
0803,..Toila rural municipality,4860,4819,4767,4733
0809,..Tori rural municipality,11560,11527,11509,11499
0824,..Tõrva rural municipality,6482,6414,6330,6185
0834,..Türi rural municipality,11437,11240,10937,10918
0928,..Väike-Maarja rural municipality,6130,6112,6032,5944
0855,..Valga rural municipality,16648,16382,16143,15989
0890,..Viimsi rural municipality,17782,18041,18659,19387
0899,..Viljandi city,17966,17860,17711,17525
0899,..Viljandi rural municipality,14084,13990,13806,13685
0901,..Vinni rural municipality,7118,7022,6943,6812
0903,..Viru-Nigula rural municipality,6154,6022,5891,5843
0907,..Vormsi rural municipality,398,397,411,407
0919,..Võru city,12717,12430,12167,12022
0917,..Võru rural municipality,10832,10854,10781,10793